REGIÃO ,PAÍS,CONSUMO DE PETRÓLEO em mil barris por dia,ANO
Américas Central e do Sul,Colômbia,338,0438482,2017
Américas Central e do Sul,Equador,236,6729545,2017
Américas Central e do Sul,Peru,247,9952711,2017
Américas Central e do Sul,Trinidad e Tobago,43,91404916,2017
Américas Central e do Sul,Venezuela,462,8568696,2017
Américas Central e do Sul,Outros,1267,138987,2017
Europa,Alemanha,2374,479957,2017
Europa,Áustria,253,6576497,2017
Europa,Bélgica,684,644475,2017
Europa,Bulgária,99,24249146,2017
Europa,Chipre,52,33847,2017
Europa,Croácia,72,90003836,2017
Europa,Dinamarca,153,5877453,2017
Europa,Eslováquia,85,52712329,2017
Europa,Eslovênia,53,26934388,2017
Europa,Espanha,1270,000189,2017
Europa,Estônia,29,90911732,2017
Europa,Finlândia ,206,8579904,2017
Europa,França,1539,29148,2017
Europa,Grécia ,320,0342955,2017
Europa,Holanda,818,0865755,2017
Europa,Hungria,172,7831397,2017
Europa,Islândia,20,94114765,2017
Europa,Irlanda,149,4069916,2017
Europa,Itália,1249,333012,2017
Europa,Letônia,37,22540648,2017
Europa,Lituânia,62,38849589,2017
Europa,Luxemburgo,56,65405696,2017
Europa,Macedônia,21,32417298,2017
Europa,Noruega,211,1029811,2017
Europa,Polônia,646,4316164,2017
Europa,Portugal,243,0638375,2017
Europa,Reino Unido,1610,226373,2017
Europa,República Tcheca,209,4685246,2017
Europa,Romênia,205,7207123,2017
Europa,Suécia,288,5878604,2017
Europa,Suíça,219,3053012,2017
Europa,Turquia,1021,896374,2017
Europa,Ucrânia,208,4584789,2017
Europa,Outros,343,1426874,2017
Comunidade dos Estados Independentes,Azerbaijão,99,40341164,2017
Comunidade dos Estados Independentes,Belarus,136,4146665,2017
Comunidade dos Estados Independentes,Cazaquistão,317,2420144,2017
Comunidade dos Estados Independentes,Rússia,3194,718448,2017
Comunidade dos Estados Independentes,Turcomenistão,143,670807,2017
Comunidade dos Estados Independentes,Uzbequistão,46,75854083,2017
Comunidade dos Estados Independentes,Outros,82,40909294,2017
Oriente Médio,Arábia Saudita,3838,359379,2017
Oriente Médio,Catar,312,1821979,2017
Oriente Médio,Coveite,440,0324939,2017
Oriente Médio,Emirados Árabes Unidos,1012,225773,2017
Oriente Médio,Irã,1807,897691,2017
Oriente Médio,Iraque,723,7307806,2017
Oriente Médio,Israel,254,9643681,2017
Oriente Médio,Omã,242,9561597,2017
Oriente Médio,Outros,524,0797965,2017
África,África do Sul,545,6297619,2017
África,África Central,231,7303768,2017
África,África Ocidental,689,0835685,2017
África,África Oriental,605,8563831,2017
África,Argélia,407,4447397,2017
África,Egito,803,9755879,2017
África,Marrocos,290,3407671,2017
África,Outros Norte da África,302,5759848,2017
África,Outros Sul da África,61,20880547,2017
Ásia-Pacífico,Austrália,1033,957058,2017
Ásia-Pacífico,Bangladesh,155,6293022,2017
Ásia-Pacífico,China,12842,30052,2017
Ásia-Pacífico,Cingapura,1405,423346,2017
Ásia-Pacífico,Coreia do Sul,2801,327671,2017
Ásia-Pacífico,Hong Kong,427,8280559,2017
Ásia-Pacífico,Filipinas,444,8367577,2017
Ásia-Pacífico,Índia,4860,4078,2017
Ásia-Pacífico,Indonésia,1660,037913,2017
Ásia-Pacífico,Japão,3970,860734,2017
Ásia-Pacífico,Malásia,802,7835239,2017
Ásia-Pacífico,Nova Zelândia,174,1587949,2017
Ásia-Pacífico,Paquistão,588,6159738,2017
Ásia-Pacífico,Sri Lanka,113,6240569,2017
Ásia-Pacífico,Tailândia,1407,141326,2017
Ásia-Pacífico,Taiwan,1038,449438,2017
Ásia-Pacífico,Vietnã,487,393619,2017
Ásia-Pacífico,Outros,454,1542427,2017
América do Norte,Canadá,2443,311147,2018
América do Norte,Estados Unidos,19427,64252,2018
América do Norte,México,1821,227248,2018
Américas Central e do Sul,Argentina,611,0413814,2018
Américas Central e do Sul,Brasil,2376,581611,2018
Américas Central e do Sul,Chile,374,1405535,2018
Américas Central e do Sul,Colômbia,340,81551,2018
Américas Central e do Sul,Equador,254,6336173,2018
Américas Central e do Sul,Peru,256,8768619,2018
Américas Central e do Sul,Trinidad e Tobago,41,62076768,2018
Américas Central e do Sul,Venezuela,402,4299943,2018
Américas Central e do Sul,Outros,1287,954366,2018
Europa,Alemanha,2259,738307,2018
Europa,Áustria,257,6828965,2018
Europa,Bélgica,702,1945986,2018
Europa,Bulgária,99,13068307,2018
Europa,Chipre,51,69584192,2018
Europa,Croácia,70,7557863,2018
Europa,Dinamarca,155,2778211,2018
Europa,Eslováquia,87,0239726,2018
Europa,Eslovênia,54,72915301,2018
Europa,Espanha,1296,901714,2018
Europa,Estônia,29,69417341,2018
Europa,Finlândia ,206,5584536,2018
Europa,França,1537,636041,2018
Europa,Grécia ,315,6410343,2018
Europa,Holanda,843,5145181,2018
Europa,Hungria,184,2113977,2018
Europa,Islândia,22,1774757,2018
Europa,Irlanda,155,2590807,2018
Europa,Itália,1276,872223,2018
Europa,Letônia,34,64445883,2018
Europa,Lituânia,65,63375342,2018
Europa,Luxemburgo,59,95726485,2018
Europa,Macedônia,20,54584766,2018
Europa,Noruega,222,4187593,2018
Europa,Polônia,662,5449782,2018
Europa,Portugal,233,1940294,2018
Europa,Reino Unido,1584,039476,2018
Europa,República Tcheca,211,6061746,2018
Europa,Romênia,211,6599818,2018
Europa,Suécia,275,9997028,2018
Europa,Suíça,211,5430991,2018
Europa,Turquia,987,199612,2018
Europa,Ucrânia,206,82082,2018
Europa,Outros,341,8785604,2018
Comunidade dos Estados Independentes,Azerbaijão,104,1329678,2018
Comunidade dos Estados Independentes,Belarus,147,3696799,2018
Comunidade dos Estados Independentes,Cazaquistão,339,7449356,2018
Comunidade dos Estados Independentes,Rússia,3281,524332,2018
Comunidade dos Estados Independentes,Turcomenistão,148,8192599,2018
Comunidade dos Estados Independentes,Uzbequistão,45,16322563,2018
Comunidade dos Estados Independentes,Outros,90,71517644,2018
Oriente Médio,Arábia Saudita,3768,873949,2018
Oriente Médio,Catar,324,9140879,2018
Oriente Médio,Coveite,434,1814702,2018
Oriente Médio,Emirados Árabes Unidos,1057,263559,2018
Oriente Médio,Irã,1834,787005,2018
Oriente Médio,Iraque,704,5990411,2018
Oriente Médio,Israel,249,7812333,2018
Oriente Médio,Omã,283,9611937,2018
Oriente Médio,Outros,515,3652797,2018
África,África do Sul,556,8921514,2018
África,África Central,234,9183833,2018
África,África Ocidental,726,9718275,2018
África,África Oriental,626,3990316,2018
África,Argélia,417,4209589,2018
África,Egito,756,6180927,2018
África,Marrocos,286,1094984,2018
África,Outros Norte da África,318,4818271,2018
África,Outros Sul da África,62,20129542,2018
Ásia-Pacífico,Austrália,1054,441697,2018
Ásia-Pacífico,Bangladesh,178,087269,2018
Ásia-Pacífico,China,13374,83277,2018
Ásia-Pacífico,Cingapura,1430,859029,2018
Ásia-Pacífico,Coreia do Sul,2781,19326,2018
Ásia-Pacífico,Hong Kong,434,6118057,2018
Ásia-Pacífico,Filipinas,449,5770145,2018
Ásia-Pacífico,Índia,5111,769279,2018
Ásia-Pacífico,Indonésia,1724,358392,2018
Ásia-Pacífico,Japão,3854,539719,2018
Ásia-Pacífico,Malásia,812,5350537,2018
Ásia-Pacífico,Nova Zelândia,174,8372348,2018
Ásia-Pacífico,Paquistão,498,1968731,2018
Ásia-Pacífico,Sri Lanka,114,049101,2018
Ásia-Pacífico,Tailândia,1432,284874,2018
Ásia-Pacífico,Taiwan,1049,583257,2018
Ásia-Pacífico,Vietnã,506,3925442,2018
Ásia-Pacífico,Outros,474,3641107,2018
América do Norte,Canadá,2402,541314,2019
América do Norte,Estados Unidos,19399,96374,2019
América do Norte,México,1733,349597,2019
Américas Central e do Sul,Argentina,599,0551034,2019
Américas Central e do Sul,Brasil,2397,533018,2019
Américas Central e do Sul,Chile,381,1568862,2019
Américas Central e do Sul,Colômbia,346,7489263,2019
Américas Central e do Sul,Equador,248,5559932,2019
Américas Central e do Sul,Peru,261,8716735,2019
Américas Central e do Sul,Trinidad e Tobago,38,75525581,2019
Américas Central e do Sul,Venezuela,355,7671536,2019
Américas Central e do Sul,Outros,1293,808545,2019
Europa,Alemanha,2281,053079,2019
Europa,Áustria,262,962054,2019
Europa,Bélgica,682,9653672,2019
Europa,Bulgária,104,2953566,2019
Europa,Chipre,51,57152249,2019
Europa,Croácia,68,45039723,2019
Europa,Dinamarca,159,1740419,2019
Europa,Eslováquia,83,07688806,2019
Europa,Eslovênia,51,36587788,2019
Europa,Espanha,1297,999429,2019
Europa,Estônia,30,77245697,2019
Europa,Finlândia ,192,6124126,2019
Europa,França,1530,333609,2019
Europa,Grécia ,328,002387,2019
Europa,Holanda,825,0851664,2019
Europa,Hungria,185,579597,2019
Europa,Islândia,19,36159847,2019
Europa,Irlanda,155,7148016,2019
Europa,Itália,1217,777212,2019
Europa,Letônia,37,76924878,2019
Europa,Lituânia,65,69810959,2019
Europa,Luxemburgo,60,97741227,2019
Europa,Macedônia,22,2150969,2019
Europa,Noruega,206,5680772,2019
Europa,Polônia,670,3973791,2019
Europa,Portugal,249,7941603,2019
Europa,Reino Unido,1544,737787,2019
Europa,República Tcheca,213,3790505,2019
Europa,Romênia,223,5640638,2019
Europa,Suécia,283,3906117,2019
Europa,Suíça,216,1978295,2019
Europa,Turquia,1004,791007,2019
Europa,Ucrânia,221,8444228,2019
Europa,Outros,346,4839542,2019
Comunidade dos Estados Independentes,Azerbaijão,108,3834933,2019
Comunidade dos Estados Independentes,Belarus,151,4072507,2019
Comunidade dos Estados Independentes,Cazaquistão,352,5184104,2019
Comunidade dos Estados Independentes,Rússia,3316,78962,2019
Comunidade dos Estados Independentes,Turcomenistão,161,8281958,2019
Comunidade dos Estados Independentes,Uzbequistão,43,65760729,2019
Comunidade dos Estados Independentes,Outros,92,51409282,2019
Oriente Médio,Arábia Saudita,3787,568208,2019
Oriente Médio,Catar,346,4319254,2019
Oriente Médio,Coveite,426,5946416,2019
Oriente Médio,Emirados Árabes Unidos,1042,34154,2019
Oriente Médio,Irã,2018,245603,2019
Oriente Médio,Iraque,716,2856286,2019
Oriente Médio,Israel,254,0969129,2019
Oriente Médio,Omã,295,236469,2019
Oriente Médio,Outros,528,9204048,2019
África,África do Sul,569,4419229,2019
África,África Central,240,440878,2019
África,África Ocidental,755,7207861,2019
África,África Oriental,644,759723,2019
África,Argélia,453,9629315,2019
África,Egito,743,1879766,2019
África,Marrocos,294,0453989,2019
África,Outros Norte da África,332,2445591,2019
África,Outros Sul da África,62,61986295,2019
Ásia-Pacífico,Austrália,1046,12884,2019
Ásia-Pacífico,Bangladesh,170,8897264,2019
Ásia-Pacífico,China,14055,51554,2019
Ásia-Pacífico,Cingapura,1404,483326,2019
Ásia-Pacífico,Coreia do Sul,2759,841479,2019
Ásia-Pacífico,Hong Kong,408,4947794,2019
Ásia-Pacífico,Filipinas,457,9781327,2019
Ásia-Pacífico,Índia,5270,734037,2019
Ásia-Pacífico,Indonésia,1732,492074,2019
Ásia-Pacífico,Japão,3812,020799,2019
Ásia-Pacífico,Malásia,829,3030817,2019
Ásia-Pacífico,Nova Zelândia,175,6549697,2019
Ásia-Pacífico,Paquistão,445,8644359,2019
Ásia-Pacífico,Sri Lanka,122,6157392,2019
Ásia-Pacífico,Tailândia,1453,2886,2019
Ásia-Pacífico,Taiwan,998,0102776,2019
Ásia-Pacífico,Vietnã,528,4574961,2019
Ásia-Pacífico,Outros,506,3716179,2019
