REGIÃO ,PAÍS,CONSUMO DE PETRÓLEO em mil barris por dia,ANO
Oriente Médio,Emirados Árabes Unidos,734,6660304,2011
Oriente Médio,Irã,1822,878348,2011
Oriente Médio,Iraque,629,2234612,2011
Oriente Médio,Israel,254,3397567,2011
Oriente Médio,Omã,146,1225753,2011
Oriente Médio,Outros,712,4335927,2011
África,África do Sul,541,6152607,2011
África,África Central,217,4585481,2011
África,África Ocidental,547,4091391,2011
África,África Oriental,443,1288765,2011
África,Argélia,349,4717808,2011
África,Egito,720,1988177,2011
África,Marrocos,274,5958707,2011
África,Outros Norte da África,262,4695288,2011
África,Outros Sul da África,48,89456438,2011
Ásia-Pacífico,Austrália,958,8949689,2011
Ásia-Pacífico,Bangladesh,103,6811515,2011
Ásia-Pacífico,China,9738,76722,2011
Ásia-Pacífico,Cingapura,1208,10066,2011
Ásia-Pacífico,Coreia do Sul,2394,080603,2011
Ásia-Pacífico,Hong Kong,360,2754206,2011
Ásia-Pacífico,Filipinas,291,9826624,2011
Ásia-Pacífico,Índia,3541,504981,2011
Ásia-Pacífico,Indonésia,1588,546285,2011
Ásia-Pacífico,Japão,4434,585971,2011
Ásia-Pacífico,Malásia,723,6975689,2011
Ásia-Pacífico,Nova Zelândia,154,2651827,2011
Ásia-Pacífico,Paquistão,414,2739974,2011
Ásia-Pacífico,Sri Lanka,91,68860409,2011
Ásia-Pacífico,Tailândia,1166,111032,2011
Ásia-Pacífico,Taiwan,950,4471109,2011
Ásia-Pacífico,Vietnã,361,3823014,2011
Ásia-Pacífico,Outros,320,1015178,2011
América do Norte,Canadá,2329,517932,2012
América do Norte,Estados Unidos,17593,72058,2012
América do Norte,México,2082,999487,2012
Américas Central e do Sul,Argentina,613,8916322,2012
Américas Central e do Sul,Brasil,2509,386298,2012
Américas Central e do Sul,Chile,375,6049307,2012
Américas Central e do Sul,Colômbia,294,3352838,2012
Américas Central e do Sul,Equador,232,8412617,2012
Américas Central e do Sul,Peru,206,9876369,2012
Américas Central e do Sul,Trinidad e Tobago,39,98404098,2012
Américas Central e do Sul,Venezuela,792,1318033,2012
Américas Central e do Sul,Outros,1168,525969,2012
Europa,Alemanha,2276,325437,2012
Europa,Áustria,245,2625552,2012
Europa,Bélgica,630,5815806,2012
Europa,Bulgária,84,71937116,2012
Europa,Chipre,51,06092896,2012
Europa,Croácia,64,99182787,2012
Europa,Dinamarca,152,8579305,2012
Europa,Eslováquia,71,73412568,2012
Europa,Eslovênia,52,83077184,2012
Europa,Espanha,1251,27786,2012
Europa,Estônia,31,51419249,2012
Europa,Finlândia ,199,8829499,2012
Europa,França,1609,85276,2012
Europa,Grécia ,318,4238331,2012
Europa,Holanda,916,4017545,2012
Europa,Hungria,138,8343753,2012
Europa,Islândia,14,17989029,2012
Europa,Irlanda,137,3431444,2012
Europa,Itália,1350,292085,2012
Europa,Letônia,32,86925592,2012
Europa,Lituânia,53,0965847,2012
Europa,Luxemburgo,57,93929579,2012
Europa,Macedônia,18,80660088,2012
Europa,Noruega,221,3133175,2012
Europa,Polônia,552,1959613,2012
Europa,Portugal,225,087048,2012
Europa,Reino Unido,1521,836934,2012
Europa,República Tcheca,191,3521982,2012
Europa,Romênia,186,3693443,2012
Europa,Suécia,292,2025773,2012
Europa,Suíça,237,779323,2012
Europa,Turquia,701,8669399,2012
Europa,Ucrânia,267,4113224,2012
Europa,Outros,299,6937283,2012
Comunidade dos Estados Independentes,Azerbaijão,92,05448907,2012
Comunidade dos Estados Independentes,Belarus,210,3785519,2012
Comunidade dos Estados Independentes,Cazaquistão,245,0491845,2012
Comunidade dos Estados Independentes,Rússia,3119,340666,2012
Comunidade dos Estados Independentes,Turcomenistão,129,3892077,2012
Comunidade dos Estados Independentes,Uzbequistão,63,48945355,2012
Comunidade dos Estados Independentes,Outros,74,5732635,2012
Oriente Médio,Arábia Saudita,3459,874229,2012
Oriente Médio,Catar,257,2968224,2012
Oriente Médio,Coveite,498,8050792,2012
Oriente Médio,Emirados Árabes Unidos,773,2826619,2012
Oriente Médio,Irã,1859,248557,2012
Oriente Médio,Iraque,665,7609725,2012
Oriente Médio,Israel,294,857323,2012
Oriente Médio,Omã,157,3286339,2012
Oriente Médio,Outros,675,5254442,2012
África,África do Sul,551,9131619,2012
África,África Central,227,6302501,2012
África,África Ocidental,571,734148,2012
África,África Oriental,449,5743322,2012
África,Argélia,369,8407377,2012
África,Egito,746,9427371,2012
África,Marrocos,276,8283773,2012
África,Outros Norte da África,330,4636016,2012
África,Outros Sul da África,50,32520038,2012
Ásia-Pacífico,Austrália,991,0609267,2012
Ásia-Pacífico,Bangladesh,109,7658584,2012
Ásia-Pacífico,China,10170,04571,2012
Ásia-Pacífico,Cingapura,1202,191609,2012
Ásia-Pacífico,Coreia do Sul,2458,176011,2012
Ásia-Pacífico,Hong Kong,344,1994852,2012
Ásia-Pacífico,Filipinas,300,7656746,2012
Ásia-Pacífico,Índia,3739,988812,2012
Ásia-Pacífico,Indonésia,1639,343305,2012
Ásia-Pacífico,Japão,4694,298399,2012
Ásia-Pacífico,Malásia,756,9213272,2012
Ásia-Pacífico,Nova Zelândia,151,4779976,2012
Ásia-Pacífico,Paquistão,402,2881235,2012
Ásia-Pacífico,Sri Lanka,95,38768525,2012
Ásia-Pacífico,Tailândia,1224,964627,2012
Ásia-Pacífico,Taiwan,949,6060874,2012
Ásia-Pacífico,Vietnã,371,43777,2012
Ásia-Pacífico,Outros,332,7222384,2012
América do Norte,Canadá,2345,336638,2013
América do Norte,Estados Unidos,18005,84497,2013
América do Norte,México,2034,163494,2013
Américas Central e do Sul,Argentina,657,6320154,2013
Américas Central e do Sul,Brasil,2655,465091,2013
Américas Central e do Sul,Chile,362,4761548,2013
Américas Central e do Sul,Colômbia,296,5875774,2013
Américas Central e do Sul,Equador,247,259788,2013
Américas Central e do Sul,Peru,219,165307,2013
Américas Central e do Sul,Trinidad e Tobago,45,20454521,2013
Américas Central e do Sul,Venezuela,782,4553021,2013
Américas Central e do Sul,Outros,1151,484075,2013
Europa,Alemanha,2336,157753,2013
Europa,Áustria,253,3117507,2013
Europa,Bélgica,650,5733029,2013
Europa,Bulgária,78,86977569,2013
Europa,Chipre,45,67816438,2013
Europa,Croácia,63,0491863,2013
Europa,Dinamarca,152,4484703,2013
Europa,Eslováquia,72,30660274,2013
Europa,Eslovênia,50,02099841,2013
Europa,Espanha,1180,585467,2013
Europa,Estônia,30,97636162,2013
Europa,Finlândia ,215,0246964,2013
Europa,França,1596,737128,2013
Europa,Grécia ,300,2419485,2013
Europa,Holanda,889,3858893,2013
Europa,Hungria,138,5964294,2013
Europa,Islândia,14,85050987,2013
Europa,Irlanda,138,9721178,2013
Europa,Itália,1245,725547,2013
Europa,Letônia,33,38123289,2013
Europa,Lituânia,51,81053425,2013
Europa,Luxemburgo,57,10309055,2013
Europa,Macedônia,18,5861014,2013
Europa,Noruega,226,4162632,2013
Europa,Polônia,519,6169107,2013
Europa,Portugal,235,3231603,2013
Europa,Reino Unido,1504,83102,2013
Europa,República Tcheca,183,4312307,2013
Europa,Romênia,169,8372329,2013
Europa,Suécia,291,77853,2013
Europa,Suíça,248,8650922,2013
