REGIAO,PAIS,CONSUMO,CONSUMO_DECIMAL,ANO
Oriente Medio,Emirados Arabes Unidos,773,2826619,2012
Oriente Medio,Ira,1859,248557,2012
Oriente Medio,Iraque,665,7609725,2012
Oriente Medio,Israel,294,857323,2012
Oriente Medio,Oma,157,3286339,2012
Oriente Medio,Outros,675,5254442,2012
Africa,Africa do Sul,551,9131619,2012
Africa,Africa Central,227,6302501,2012
Africa,Africa Ocidental,571,734148,2012
Africa,Africa Oriental,449,5743322,2012
Africa,Argelia,369,8407377,2012
Africa,Egito,746,9427371,2012
Africa,Marrocos,276,8283773,2012
Africa,Outros Norte da Africa,330,4636016,2012
Africa,Outros Sul da Africa,50,32520038,2012
Asia-Pacifico,Australia,991,0609267,2012
Asia-Pacifico,Bangladesh,109,7658584,2012
Asia-Pacifico,China,10170,04571,2012
Asia-Pacifico,Cingapura,1202,191609,2012
Asia-Pacifico,Coreia do Sul,2458,176011,2012
Asia-Pacifico,Hong Kong,344,1994852,2012
Asia-Pacifico,Filipinas,300,7656746,2012
Asia-Pacifico,India,3739,988812,2012
Asia-Pacifico,Indonesia,1639,343305,2012
Asia-Pacifico,Japao,4694,298399,2012
Asia-Pacifico,Malasia,756,9213272,2012
Asia-Pacifico,Nova Zelandia,151,4779976,2012
Asia-Pacifico,Paquistao,402,2881235,2012
Asia-Pacifico,Sri Lanka,95,38768525,2012
Asia-Pacifico,Tailandia,1224,964627,2012
Asia-Pacifico,Taiwan,949,6060874,2012
Asia-Pacifico,Vietna,371,43777,2012
Asia-Pacifico,Outros,332,7222384,2012
America do Norte,Canada,2345,336638,2013
America do Norte,Estados Unidos,18005,84497,2013
America do Norte,Mexico,2034,163494,2013
Americas Central e do Sul,Argentina,657,6320154,2013
Americas Central e do Sul,Brasil,2655,465091,2013
Americas Central e do Sul,Chile,362,4761548,2013
Americas Central e do Sul,Colombia,296,5875774,2013
Americas Central e do Sul,Equador,247,259788,2013
Americas Central e do Sul,Peru,219,165307,2013
Americas Central e do Sul,Trinidad e Tobago,45,20454521,2013
Americas Central e do Sul,Venezuela,782,4553021,2013
Americas Central e do Sul,Outros,1151,484075,2013
Europa,Alemanha,2336,157753,2013
Europa,Austria,253,3117507,2013
Europa,Belgica,650,5733029,2013
Europa,Bulgaria,78,86977569,2013
Europa,Chipre,45,67816438,2013
Europa,Croacia,63,0491863,2013
Europa,Dinamarca,152,4484703,2013
Europa,Eslovaquia,72,30660274,2013
Europa,Eslovenia,50,02099841,2013
Europa,Espanha,1180,585467,2013
Europa,Estonia,30,97636162,2013
Europa,Finlandia,215,0246964,2013
Europa,Franca,1596,737128,2013
Europa,Grecia,300,2419485,2013
Europa,Holanda,889,3858893,2013
Europa,Hungria,138,5964294,2013
Europa,Islandia,14,85050987,2013
Europa,Irlanda,138,9721178,2013
Europa,Italia,1245,725547,2013
Europa,Letonia,33,38123289,2013
